Date,Close,GS
21/04/2005,105.11,0.007448468
20/04/2005,104.33,-0.022368481
19/04/2005,106.69,-0.006167091
18/04/2005,107.35,0.00804344
15/04/2005,106.49,-0.018606919
14/04/2005,108.49,-0.013913268
13/04/2005,110.01,-0.015782444
12/04/2005,111.76,-0.002948405
11/04/2005,112.09,-0.007466038
08/04/2005,112.93,-0.005298961
07/04/2005,113.53,0.009113898
06/04/2005,112.5,0.017123553
05/04/2005,110.59,-0.003700532
04/04/2005,111,0.015433806
01/04/2005,109.3,-0.006293057
31/03/2005,109.99,0.001728923
30/03/2005,109.8,0.012371292
29/03/2005,108.45,-0.011277798
28/03/2005,109.68,0.011738946
24/03/2005,108.4,0.003141461
23/03/2005,108.06,0.000647998
22/03/2005,107.99,-0.014798744
21/03/2005,109.6,-0.003461157
18/03/2005,109.98,-0.000545405
17/03/2005,110.04,0.000636335
16/03/2005,109.97,-0.005169845
15/03/2005,110.54,0.004897081
14/03/2005,110,0.0040993
11/03/2005,109.55,-0.016117698
10/03/2005,111.33,0.00414042
09/03/2005,110.87,-0.015749766
08/03/2005,112.63,-0.001508229
07/03/2005,112.8,0.011322726
04/03/2005,111.53,0.01919132
03/03/2005,109.41,-0.00292051
02/03/2005,109.73,-0.002639364
01/03/2005,110.02,0.011150833
28/02/2005,108.8,-0.011877709
25/02/2005,110.1,0.014638871
24/02/2005,108.5,-0.005606375
23/02/2005,109.11,0.011522458
22/02/2005,107.86,-0.010513792
18/02/2005,109,-0.014572207
17/02/2005,110.6,-0.014986595
16/02/2005,112.27,-0.003911464
15/02/2005,112.71,0.00658717
14/02/2005,111.97,-0.007119368
11/02/2005,112.77,0
10/02/2005,112.77,0.011774286
09/02/2005,111.45,-0.000896861
08/02/2005,111.55,0.017726791
07/02/2005,109.59,-0.003916038
04/02/2005,110.02,0.011702456
03/02/2005,108.74,0.001380389
02/02/2005,108.59,0.001751233
01/02/2005,108.4,0.005086716
31/01/2005,107.85,0.016170844
28/01/2005,106.12,0.02017963
27/01/2005,104,0.00714082
26/01/2005,103.26,0.003881239
25/01/2005,102.86,-0.003687535
24/01/2005,103.24,-0.000871375
21/01/2005,103.33,-0.000677212
20/01/2005,103.4,-0.006362694
19/01/2005,104.06,-0.008992694
18/01/2005,105,0.007456301
14/01/2005,104.22,0.012357755
13/01/2005,102.94,-0.003200623
12/01/2005,103.27,-0.008677262
11/01/2005,104.17,-0.007745676
10/01/2005,104.98,0.001906942
07/01/2005,104.78,-0.004285517
06/01/2005,105.23,0.01368246
05/01/2005,103.8,-0.004517718
04/01/2005,104.27,-0.006500357
03/01/2005,104.95,0.008708606
31/12/2004,104.04,-0.008422714
30/12/2004,104.92,0.002576706
29/12/2004,104.65,-0.004766453
28/12/2004,105.15,0.009075773
27/12/2004,104.2,-0.001438504
23/12/2004,104.35,-0.000479042
