Date,Close,F
30/06/2005,10.24,-0.016465263
29/06/2005,10.41,0.000961076
28/06/2005,10.4,0.027292142
27/06/2005,10.12,-0.008853968
24/06/2005,10.21,-0.018438174
23/06/2005,10.4,-0.026567027
22/06/2005,10.68,-0.04485878
21/06/2005,11.17,0.005386009
20/06/2005,11.11,-0.015185642
17/06/2005,11.28,-0.007947062
16/06/2005,11.37,0.018642351
15/06/2005,11.16,0.030939684
14/06/2005,10.82,0.028118066
13/06/2005,10.52,0.018225924
10/06/2005,10.33,0.030469187
09/06/2005,10.02,-0.006961739
08/06/2005,10.09,0.00297767
07/06/2005,10.06,0.009990093
06/06/2005,9.96,0.006042314
03/06/2005,9.9,-0.036692267
02/06/2005,10.27,0.034674103
01/06/2005,9.92,-0.006030169
31/05/2005,9.98,-0.008977616
27/05/2005,10.07,0.003980105
26/05/2005,10.03,0.00700353
25/05/2005,9.96,-0.002006019
24/05/2005,9.98,-0.01885912
23/05/2005,10.17,0.016857117
20/05/2005,10,-0.0009995
19/05/2005,10.01,0.009031672
18/05/2005,9.92,0.06346383
17/05/2005,9.31,-0.010683862
16/05/2005,9.41,0.011758553
13/05/2005,9.3,-0.005361943
12/05/2005,9.35,-0.030544765
11/05/2005,9.64,-0.014418375
10/05/2005,9.78,-0.017233067
09/05/2005,9.95,0.019280151
06/05/2005,9.76,0.006166515
05/05/2005,9.7,-0.046332557
04/05/2005,10.16,0.070329535
03/05/2005,9.47,0.02675387
02/05/2005,9.22,0.012002326
29/04/2005,9.11,-0.003287674
28/04/2005,9.14,-0.032295595
27/04/2005,9.44,-0.013677225
26/04/2005,9.57,-0.022728251
25/04/2005,9.79,-0.010162689
22/04/2005,9.89,0.007103023
21/04/2005,9.82,0.05011487
20/04/2005,9.34,0.006444705
19/04/2005,9.28,-0.006444705
18/04/2005,9.34,-0.016985546
15/04/2005,9.5,-0.025975486
14/04/2005,9.75,-0.030305349
13/04/2005,10.05,-0.00099453
12/04/2005,10.06,-0.037077418
11/04/2005,10.44,-0.054974251
08/04/2005,11.03,-0.024183892
07/04/2005,11.3,0.016957122
06/04/2005,11.11,0.000900495
05/04/2005,11.1,0.000901307
04/04/2005,11.09,-0.008082666
01/04/2005,11.18,-0.013327607
31/03/2005,11.33,-0.009661911
30/03/2005,11.44,0.014971658
29/03/2005,11.27,0.004446428
28/03/2005,11.22,-0.006219478
