Date,Close,DOV
30/11/2010,54.81,-0.007452547
29/11/2010,55.22,-0.008834458
26/11/2010,55.71,-0.016555785
24/11/2010,56.64,0.037414436
23/11/2010,54.56,-0.020499584
22/11/2010,55.69,0.014833847
19/11/2010,54.87,0.010074268
18/11/2010,54.32,0.017831082
17/11/2010,53.36,-0.002994014
16/11/2010,53.52,-0.025275767
15/11/2010,54.89,0.004931067
12/11/2010,54.62,-0.008386558
11/11/2010,55.08,0.004184487
10/11/2010,54.85,0.008605748
09/11/2010,54.38,-0.002937938
08/11/2010,54.54,-0.009852296
05/11/2010,55.08,-0.002357422
04/11/2010,55.21,0.021234552
03/11/2010,54.05,0.002222635
02/11/2010,53.93,0.007631494
01/11/2010,53.52,0.007878488
29/10/2010,53.1,0.003395589
28/10/2010,52.92,0.000945269
27/10/2010,52.87,-0.005658257
26/10/2010,53.17,-0.004316418
25/10/2010,53.4,0.00412836
22/10/2010,53.18,-0.02982531
21/10/2010,54.79,0.018234228
20/10/2010,53.8,0.02103759
19/10/2010,52.68,-0.017126607
18/10/2010,53.59,-0.007991865
15/10/2010,54.02,-0.000370165
14/10/2010,54.04,-0.011956364
13/10/2010,54.69,0.011771333
12/10/2010,54.05,-0.000369959
11/10/2010,54.07,-0.008654874
08/10/2010,54.54,-0.0027465
07/10/2010,54.69,0.01306727
06/10/2010,53.98,-0.006278876
05/10/2010,54.32,0.041343731
04/10/2010,52.12,-0.007645297
01/10/2010,52.52,0.005920002
30/09/2010,52.21,0.006340688
29/09/2010,51.88,0.008128553
28/09/2010,51.46,0.009371408
27/09/2010,50.98,-0.016149782
24/09/2010,51.81,0.042383401
23/09/2010,49.66,-0.019541998
22/09/2010,50.64,-0.014507214
21/09/2010,51.38,-0.00891306
20/09/2010,51.84,0.024408124
17/09/2010,50.59,0.014936054
16/09/2010,49.84,-0.007197152
15/09/2010,50.2,-0.003976148
14/09/2010,50.4,0.00836825
13/09/2010,49.98,0.015729302
10/09/2010,49.2,0.005502918
09/09/2010,48.93,0.004711675
08/09/2010,48.7,0.001438406
07/09/2010,48.63,-0.01185623
03/09/2010,49.21,0.015358139
02/09/2010,48.46,0.016436446
01/09/2010,47.67,0.062987386
31/08/2010,44.76,0.006500079
30/08/2010,44.47,-0.019595372
27/08/2010,45.35,0.022297468
26/08/2010,44.35,0.002483352
25/08/2010,44.24,-0.004960551
24/08/2010,44.46,-0.020481571
23/08/2010,45.38,-0.017475325
20/08/2010,46.18,-0.006044923
19/08/2010,46.46,-0.022558948
18/08/2010,47.52,0.000631512
17/08/2010,47.49,0.023435244
16/08/2010,46.39,-0.000431034
13/08/2010,46.41,-0.004300157
12/08/2010,46.61,-0.005349323
11/08/2010,46.86,-0.053797625
10/08/2010,49.45,0.008937699
09/08/2010,49.01,-0.003665992
06/08/2010,49.19,0.002850165
05/08/2010,49.05,-0.006300194
04/08/2010,49.36,0.016340233
03/08/2010,48.56,-0.006568168
02/08/2010,48.88,0.018792499
30/07/2010,47.97,0.005015684
29/07/2010,47.73,0.008415787
28/07/2010,47.33,-0.001266892
27/07/2010,47.39,-0.023976964
26/07/2010,48.54,0.016618579
23/07/2010,47.74,0.036259037
22/07/2010,46.04,0.038525907
21/07/2010,44.3,0.014094346
20/07/2010,43.68,0.013367334
19/07/2010,43.1,0.012138338
16/07/2010,42.58,-0.035075123
15/07/2010,44.1,-0.008804662
14/07/2010,44.49,0.002475527
13/07/2010,44.38,0.021178066
12/07/2010,43.45,-0.016434974
09/07/2010,44.17,0.013218059
08/07/2010,43.59,0.01084084
07/07/2010,43.12,0.034445491
06/07/2010,41.66,0.013290035
02/07/2010,41.11,-0.0048532
01/07/2010,41.31,-0.011552475
30/06/2010,41.79,-0.002867385
29/06/2010,41.91,-0.04365263
28/06/2010,43.78,-0.008189309
25/06/2010,44.14,0.019213766
24/06/2010,43.3,-0.023960074
23/06/2010,44.35,-0.003151736
22/06/2010,44.49,-0.040309388
21/06/2010,46.32,0.015008438
18/06/2010,45.63,-0.006988454
17/06/2010,45.95,-0.00974561
16/06/2010,46.4,-0.011570731
15/06/2010,46.94,0.033137845
14/06/2010,45.41,0.005963574
11/06/2010,45.14,0.010914464
10/06/2010,44.65,0.044889607
09/06/2010,42.69,0.009414049
08/06/2010,42.29,0.007357337
07/06/2010,41.98,-0.025168916
04/06/2010,43.05,-0.062358446
03/06/2010,45.82,0.014508938
02/06/2010,45.16,0.032406076
01/06/2010,43.72,-0.026409389
28/05/2010,44.89,-0.015911938
27/05/2010,45.61,0.041635378
26/05/2010,43.75,0.002059262
25/05/2010,43.66,-0.007529984
24/05/2010,43.99,-0.010402627
21/05/2010,44.45,0.005413954
20/05/2010,44.21,-0.065019066
19/05/2010,47.18,-0.022218478
18/05/2010,48.24,-0.025784117
17/05/2010,49.5,0.000202041
14/05/2010,49.49,-0.026519349
13/05/2010,50.82,-0.018520853
12/05/2010,51.77,0.025431731
11/05/2010,50.47,-0.009269369
10/05/2010,50.94,0.058822654
07/05/2010,48.03,-0.014674233
06/05/2010,48.74,-0.057021624
05/05/2010,51.6,-0.0061824
04/05/2010,51.92,-0.028293922
03/05/2010,53.41,0.022532431
30/04/2010,52.22,-0.011992149
29/04/2010,52.85,0.015445059
28/04/2010,52.04,0.005781477
27/04/2010,51.74,-0.035504441
26/04/2010,53.61,-0.010945291
23/04/2010,54.2,0.075670362
22/04/2010,50.25,0.02743767
21/04/2010,48.89,0.013177049
20/04/2010,48.25,0.010416761
19/04/2010,47.75,-0.000628075
16/04/2010,47.78,-0.01516282
15/04/2010,48.51,-0.003703708
14/04/2010,48.69,0.016984667
13/04/2010,47.87,0.001045041
12/04/2010,47.82,-0.004173629
09/04/2010,48.02,0.018495693
08/04/2010,47.14,-0.004233707
07/04/2010,47.34,-0.006527026
06/04/2010,47.65,0.002100841
05/04/2010,47.55,0.011634187
01/04/2010,47,0.005333346
31/03/2010,46.75,-0.007883284
30/03/2010,47.12,0.010238997
29/03/2010,46.64,0.012296563
26/03/2010,46.07,-0.002384825
25/03/2010,46.18,-0.004752655
24/03/2010,46.4,-0.020900739
23/03/2010,47.38,0.020469798
22/03/2010,46.42,-0.002366865
19/03/2010,46.53,-0.011963398
18/03/2010,47.09,0.003403534
17/03/2010,46.93,0.012220111
16/03/2010,46.36,0.002591794
15/03/2010,46.24,-0.004100578
12/03/2010,46.43,0.000430849
11/03/2010,46.41,0.001725254
