Date,Close,EA
14/07/2011,23.51,-0.016870919
13/07/2011,23.91,-0.010815413
12/07/2011,24.17,-0.009061018
11/07/2011,24.39,-0.026700615
08/07/2011,25.05,0.008821228
07/07/2011,24.83,0.01952075
06/07/2011,24.35,0.001232792
05/07/2011,24.32,0.005359732
01/07/2011,24.19,0.024692613
30/06/2011,23.6,-0.000423639
29/06/2011,23.61,0.045935285
28/06/2011,22.55,0.037962082
27/06/2011,21.71,-0.002759891
24/06/2011,21.77,-0.005953762
23/06/2011,21.9,-0.028804872
22/06/2011,22.54,-0.00619197
21/06/2011,22.68,0.014209831
20/06/2011,22.36,0.005381179
17/06/2011,22.24,-0.008060948
16/06/2011,22.42,-0.013292176
15/06/2011,22.72,-0.020906685
14/06/2011,23.2,0.017830435
13/06/2011,22.79,-0.000877193
10/06/2011,22.81,-0.012633581
09/06/2011,23.1,0.016587024
08/06/2011,22.72,-0.02735139
07/06/2011,23.35,-0.019088597
06/06/2011,23.8,-0.009617469
03/06/2011,24.03,-0.008701111
02/06/2011,24.24,-0.007398307
01/06/2011,24.42,0.000409584
31/05/2011,24.41,0.021114425
27/05/2011,23.9,0.013903742
26/05/2011,23.57,-0.007607814
25/05/2011,23.75,0.023861379
24/05/2011,23.19,-0.006875833
23/05/2011,23.35,-0.012343208
20/05/2011,23.64,-0.005904699
19/05/2011,23.78,0.002526317
18/05/2011,23.72,0.014437618
17/05/2011,23.38,0.011615532
16/05/2011,23.11,-0.025209624
13/05/2011,23.7,0.035211882
12/05/2011,22.88,0.01187088
11/05/2011,22.61,-0.006612323
10/05/2011,22.76,0.032145625
09/05/2011,22.04,0.013245227
06/05/2011,21.75,0.003223581
05/05/2011,21.68,0.084665924
04/05/2011,19.92,-0.011976191
03/05/2011,20.16,-0.006920443
02/05/2011,20.3,0.005928871
29/04/2011,20.18,-0.015244947
28/04/2011,20.49,0.012276118
27/04/2011,20.24,0.000494193
26/04/2011,20.23,-0.015207553
25/04/2011,20.54,0.006349228
21/04/2011,20.41,-0.004399909
20/04/2011,20.5,0.025192738
19/04/2011,19.99,0.006021092
18/04/2011,19.87,-0.013000183
15/04/2011,20.13,0.008982096
14/04/2011,19.95,0.00301205
13/04/2011,19.89,0.007570059
12/04/2011,19.74,-0.005556973
11/04/2011,19.85,-0.000503651
08/04/2011,19.86,-0.019447135
07/04/2011,20.25,0
06/04/2011,20.25,0.010923644
05/04/2011,20.03,0.017120257
04/04/2011,19.69,-0.002029427
01/04/2011,19.73,0.010188575
31/03/2011,19.53,-0.007651147
30/03/2011,19.68,0.001016777
29/03/2011,19.66,-0.002540006
28/03/2011,19.71,0.000507485
25/03/2011,19.7,-0.007081466
24/03/2011,19.84,0.038011767
23/03/2011,19.1,0.014768201
22/03/2011,18.82,-0.006355954
21/03/2011,18.94,0.018652286
18/03/2011,18.59,-0.004294156
17/03/2011,18.67,0.024947064
16/03/2011,18.21,-0.008748005
15/03/2011,18.37,-0.012442681
14/03/2011,18.6,0.003231021
11/03/2011,18.54,0.00053952
10/03/2011,18.53,-0.004845232
09/03/2011,18.62,-0.006957481
08/03/2011,18.75,0.016129382
07/03/2011,18.45,-0.018260443
04/03/2011,18.79,-0.009006683
03/03/2011,18.96,0.013273357
02/03/2011,18.71,0.016707476
01/03/2011,18.4,-0.021506205
28/02/2011,18.8,-0.0200112
25/02/2011,19.18,0.0200112
24/02/2011,18.8,-0.003186407
23/02/2011,18.86,-0.000530082
22/02/2011,18.87,-0.02149493
18/02/2011,19.28,-0.004140793
17/02/2011,19.36,0.022461117
16/02/2011,18.93,0.021356925
15/02/2011,18.53,0.007040376
14/02/2011,18.4,0.010379771
11/02/2011,18.21,0.0005493
10/02/2011,18.2,0.009384557
09/02/2011,18.03,-0.014864023
08/02/2011,18.3,0.001093494
