Date,Close,BK
07/06/2011,26.55,-0.001505458
06/06/2011,26.59,-0.011591081
03/06/2011,26.9,-0.015858713
02/06/2011,27.33,0.007344873
01/06/2011,27.13,-0.035485258
31/05/2011,28.11,0.013971211
27/05/2011,27.72,0.009059674
26/05/2011,27.47,0.002916517
25/05/2011,27.39,-0.003644319
24/05/2011,27.49,-0.011573366
23/05/2011,27.81,-0.013571637
20/05/2011,28.19,-0.017929818
19/05/2011,28.7,-0.000696621
18/05/2011,28.72,0.010852548
17/05/2011,28.41,0.010260129
16/05/2011,28.12,0.001779677
13/05/2011,28.07,-0.014851758
12/05/2011,28.49,0.005278914
11/05/2011,28.34,-0.018182319
10/05/2011,28.86,0.010099337
09/05/2011,28.57,-0.00069979
06/05/2011,28.59,0.00140007
05/05/2011,28.55,-0.006980831
04/05/2011,28.75,-0.006586954
03/05/2011,28.94,0.004502172
02/05/2011,28.81,-0.005193018
29/04/2011,28.96,0.013208395
28/04/2011,28.58,-0.010788342
27/04/2011,28.89,0.006598392
26/04/2011,28.7,0.012975809
25/04/2011,28.33,-0.002467831
21/04/2011,28.4,-0.004917467
20/04/2011,28.54,0.006679582
19/04/2011,28.35,-0.029541679
18/04/2011,29.2,-0.017651511
15/04/2011,29.72,-0.002352547
14/04/2011,29.79,0.005385405
13/04/2011,29.63,-0.011075797
12/04/2011,29.96,-0.005990035
11/04/2011,30.14,-0.002650764
08/04/2011,30.22,-0.00659633
07/04/2011,30.42,0.004282662
06/04/2011,30.29,-0.003624983
05/04/2011,30.4,-0.000328893
04/04/2011,30.41,0.004614379
01/04/2011,30.27,0.013302491
31/03/2011,29.87,0.006718198
30/03/2011,29.67,0.011525551
29/03/2011,29.33,0.001023367
28/03/2011,29.3,-0.005106394
25/03/2011,29.45,0.006472515
24/03/2011,29.26,0.007891618
23/03/2011,29.03,-0.003782023
22/03/2011,29.14,0.002405086
21/03/2011,29.07,0.006557401
18/03/2011,28.88,0.003468613
17/03/2011,28.78,0.020358724
16/03/2011,28.2,-0.019315789
15/03/2011,28.75,-0.001390337
14/03/2011,28.79,-0.005887463
11/03/2011,28.96,0.005193018
10/03/2011,28.81,-0.044798804
09/03/2011,30.13,-0.015151805
08/03/2011,30.59,0.024488318
07/03/2011,29.85,-0.007010544
04/03/2011,30.06,-0.026265463
03/03/2011,30.86,0.027263965
02/03/2011,30.03,-0.004319661
01/03/2011,30.16,-0.007597064
28/02/2011,30.39,-0.007866314
25/02/2011,30.63,0.016458568
24/02/2011,30.13,-0.008592254
23/02/2011,30.39,-0.016966149
22/02/2011,30.91,-0.024921418
18/02/2011,31.69,0.015583079
17/02/2011,31.2,-0.00128123
16/02/2011,31.24,0.006100517
15/02/2011,31.05,-0.031074155
14/02/2011,32.03,-0.003739487
11/02/2011,32.15,0.013780362
10/02/2011,31.71,0.000630915
09/02/2011,31.69,-0.015965279
