Date,Close,MPC
10/08/2011,35.12,-0.027522097
09/08/2011,36.1,0.110297274
08/08/2011,32.33,-0.143265795
05/08/2011,37.31,-0.02931677
04/08/2011,38.42,-0.075427099
03/08/2011,41.43,-0.021490798
02/08/2011,42.33,-0.060499546
01/08/2011,44.97,0.02659012
29/07/2011,43.79,0.023334777
28/07/2011,42.78,0.016973533
27/07/2011,42.06,-0.023265061
26/07/2011,43.05,0.03980625
25/07/2011,41.37,0.019527103
22/07/2011,40.57,0.011652543
21/07/2011,40.1,0.014316457
20/07/2011,39.53,-0.00529836
19/07/2011,39.74,0.015724392
18/07/2011,39.12,-0.001021972
15/07/2011,39.16,0.013367808
14/07/2011,38.64,-0.033590944
13/07/2011,39.96,-0.012929071
12/07/2011,40.48,0.009431691
11/07/2011,40.1,-0.032146063
08/07/2011,41.41,-0.008895359
07/07/2011,41.78,-0.002629379
06/07/2011,41.89,-0.007610025
05/07/2011,42.21,0.000236939
01/07/2011,42.2,0.01913934
30/06/2011,41.4,0.032652956
29/06/2011,40.07,0.034788325
28/06/2011,38.7,0.027506646
27/06/2011,37.65,0.010681009
24/06/2011,37.25,
