Date,Close,FIS
19/04/2011,32.85,0.002438282
18/04/2011,32.77,-0.014842011
15/04/2011,33.26,0.003614462
14/04/2011,33.14,-0.002110023
13/04/2011,33.21,0.006343474
12/04/2011,33,-0.000908678
11/04/2011,33.03,0.006378154
08/04/2011,32.82,-0.01121054
07/04/2011,33.19,-0.00030125
06/04/2011,33.2,0.006648559
05/04/2011,32.98,-0.003934034
04/04/2011,33.11,-0.003617731
01/04/2011,33.23,0.016383862
31/03/2011,32.69,-0.00305437
30/03/2011,32.79,0.013200499
29/03/2011,32.36,0.016828069
28/03/2011,31.82,-0.006890099
25/03/2011,32.04,-0.001870908
24/03/2011,32.1,0.019185995
23/03/2011,31.49,-0.005384019
22/03/2011,31.66,0.009202032
21/03/2011,31.37,0.015095838
18/03/2011,30.9,0.015984682
17/03/2011,30.41,0.005936693
16/03/2011,30.23,-0.008563952
15/03/2011,30.49,-0.016265811
14/03/2011,30.99,-0.007714599
11/03/2011,31.23,0.007714599
10/03/2011,30.99,-0.019492549
09/03/2011,31.6,-0.001265022
08/03/2011,31.64,0.024961296
07/03/2011,30.86,-0.021478627
04/03/2011,31.53,-0.007897688
03/03/2011,31.78,0.002205073
02/03/2011,31.71,-0.021217645
01/03/2011,32.39,0
28/02/2011,32.39,0.01117677
25/02/2011,32.03,0.025614049
24/02/2011,31.22,0.009979159
23/02/2011,30.91,-0.017637141
22/02/2011,31.46,-0.021384463
18/02/2011,32.14,0.011578912
17/02/2011,31.77,0.008217493
16/02/2011,31.51,-0.00758777
15/02/2011,31.75,0.00031501
14/02/2011,31.74,-0.004714766
11/02/2011,31.89,0.002826191
10/02/2011,31.8,0.003780723
09/02/2011,31.68,-0.005979561
08/02/2011,31.87,0.02896908
07/02/2011,30.96,0
04/02/2011,30.96,0.00291121
03/02/2011,30.87,-0.00516964
02/02/2011,31.03,-0.001288245
01/02/2011,31.07,0.020813759
31/01/2011,30.43,0.004941535
28/01/2011,30.28,-0.017351884
27/01/2011,30.81,0.000649351
26/01/2011,30.79,0.003578985
25/01/2011,30.68,0.002284224
24/01/2011,30.61,0.019796094
21/01/2011,30.01,0.003003506
20/01/2011,29.92,0.003012555
19/01/2011,29.83,-0.012327326
18/01/2011,30.2,0.002652521
14/01/2011,30.12,0.016064603
13/01/2011,29.64,0.003718105
12/01/2011,29.53,0.02920668
11/01/2011,28.68,0.005243851
10/01/2011,28.53,0.001403017
07/01/2011,28.49,0.003868477
06/01/2011,28.38,-0.002111933
05/01/2011,28.44,0.017379405
04/01/2011,27.95,-0.006419423
03/01/2011,28.13,0.026658639
31/12/2010,27.39,-0.010170811
30/12/2010,27.67,-0.003247342
29/12/2010,27.76,0.008683123
28/12/2010,27.52,0.003640339
27/12/2010,27.42,0.003653639
23/12/2010,27.32,0.003667037
22/12/2010,27.22,0.003311871
21/12/2010,27.13,-0.002209132
20/12/2010,27.19,-0.009152544
17/12/2010,27.44,-0.014472033
16/12/2010,27.84,0.011560822
15/12/2010,27.52,-0.010123008
14/12/2010,27.8,-0.003949027
13/12/2010,27.91,-0.01210841
10/12/2010,28.25,0.003546103
09/12/2010,28.15,-0.008489616
08/12/2010,28.39,0.006360445
07/12/2010,28.21,0.006757984
06/12/2010,28.02,-0.016283546
03/12/2010,28.48,0.011654732
02/12/2010,28.15,0.013951219
01/12/2010,27.76,0.031469849
30/11/2010,26.9,-0.00851384
29/11/2010,27.13,-0.005880208
26/11/2010,27.29,-0.006210066
24/11/2010,27.46,0.015413149
23/11/2010,27.04,-0.018685284
22/11/2010,27.55,0.006189716
19/11/2010,27.38,0.009541357
18/11/2010,27.12,0.01373699
17/11/2010,26.75,-0.011522149
16/11/2010,27.06,-0.009562412
15/11/2010,27.32,0.004402061
12/11/2010,27.2,-0.014236415
11/11/2010,27.59,-0.00973858
10/11/2010,27.86,0.00756624
09/11/2010,27.65,-0.003970408
08/11/2010,27.76,-0.006821064
05/11/2010,27.95,0.005021531
04/11/2010,27.81,0.00794228
03/11/2010,27.59,0.004722988
02/11/2010,27.46,0.001093095
01/11/2010,27.43,0.012103577
29/10/2010,27.1,0.00332656
28/10/2010,27.01,-0.014700743
27/10/2010,27.41,-0.029123036
26/10/2010,28.22,-0.021038644
25/10/2010,28.82,0.007662873
22/10/2010,28.6,0.004555817
21/10/2010,28.47,-0.008742843
20/10/2010,28.72,0.017562798
19/10/2010,28.22,-0.007765659
18/10/2010,28.44,0.013095215
15/10/2010,28.07,0.006791804
14/10/2010,27.88,-0.000358616
13/10/2010,27.89,0.011902755
