Date,Close,JPM
03/01/2011,43.58,0.02697838
31/12/2010,42.42,0.00448908
30/12/2010,42.23,-0.003073652
29/12/2010,42.36,-0.005884447
28/12/2010,42.61,-0.00140713
27/12/2010,42.67,0.013923529
23/12/2010,42.08,-0.001899336
22/12/2010,42.16,0.027899838
21/12/2010,41,0.025943394
20/12/2010,39.95,0.007033438
17/12/2010,39.67,-0.008534188
16/12/2010,40.01,-0.004986298
15/12/2010,40.21,-0.014321232
14/12/2010,40.79,-0.017497409
13/12/2010,41.51,0.001929106
10/12/2010,41.43,0.015078107
09/12/2010,40.81,0.013568729
08/12/2010,40.26,0.025406976
07/12/2010,39.25,-0.01642488
06/12/2010,39.9,0.007294712
03/12/2010,39.61,0.007602672
02/12/2010,39.31,0.029953182
01/12/2010,38.15,0.019855053
30/11/2010,37.4,-0.013544225
29/11/2010,37.91,0.010873997
26/11/2010,37.5,-0.017446914
24/11/2010,38.16,0.013986242
23/11/2010,37.63,-0.023116343
22/11/2010,38.51,-0.023101643
19/11/2010,39.41,-0.006323532
18/11/2010,39.66,0.012176711
17/11/2010,39.18,-0.010915199
16/11/2010,39.61,-0.011795845
15/11/2010,40.08,0.011795845
12/11/2010,39.61,-0.010297718
11/11/2010,40.02,-0.014881227
10/11/2010,40.62,0.017884232
09/11/2010,39.9,-0.015172533
08/11/2010,40.51,-0.010558723
05/11/2010,40.94,0.028240668
04/11/2010,39.8,0.053676455
03/11/2010,37.72,0.020354211
02/11/2010,36.96,-0.012369074
01/11/2010,37.42,-0.005596284
29/10/2010,37.63,0.003194041
28/10/2010,37.51,-0.000799467
27/10/2010,37.54,0.00909827
26/10/2010,37.2,0.003500744
25/10/2010,37.07,-0.016852077
22/10/2010,37.7,0
21/10/2010,37.7,-0.010554188
20/10/2010,38.1,0.010819475
19/10/2010,37.69,-0.013440708
18/10/2010,38.2,0.027871744
15/10/2010,37.15,-0.041392491
14/10/2010,38.72,-0.02851517
13/10/2010,39.84,-0.013958352
12/10/2010,40.4,0.016723215
11/10/2010,39.73,0.01062763
08/10/2010,39.31,-0.005327933
07/10/2010,39.52,-0.009569451
06/10/2010,39.9,0.006537614
05/10/2010,39.64,0.017559937
04/10/2010,38.95,0.003600827
01/10/2010,38.81,0.019514084
30/09/2010,38.06,-0.00915398
29/09/2010,38.41,-0.01396093
28/09/2010,38.95,-0.003332055
27/09/2010,39.08,-0.016999014
24/09/2010,39.75,0.016487374
23/09/2010,39.1,-0.021255861
22/09/2010,39.94,-0.016143403
21/09/2010,40.59,-0.014673778
