Date,Close,FLS
24/06/2010,90.6,-0.021078703
23/06/2010,92.53,0.014258745
22/06/2010,91.22,-0.04207532
21/06/2010,95.14,0.005586312
18/06/2010,94.61,0.007852332
17/06/2010,93.87,-0.01038585
16/06/2010,94.85,-0.007562267
15/06/2010,95.57,0.043192176
14/06/2010,91.53,0.012533146
11/06/2010,90.39,0.004101774
10/06/2010,90.02,0.041623063
09/06/2010,86.35,0.039447722
08/06/2010,83.01,-0.005885549
07/06/2010,83.5,-0.054760331
04/06/2010,88.2,-0.052884997
03/06/2010,92.99,0.004850977
02/06/2010,92.54,0.034408451
01/06/2010,89.41,-0.061696437
28/05/2010,95.1,-0.033400199
27/05/2010,98.33,0.044715289
26/05/2010,94.03,0.020847521
25/05/2010,92.09,-0.015836582
24/05/2010,93.56,-0.019685258
21/05/2010,95.42,0.018616996
