Date,Close,TJX
29/09/2011,55.69,-0.033201001
28/09/2011,57.57,-0.003121751
27/09/2011,57.75,-0.002248552
26/09/2011,57.88,0.022893092
23/09/2011,56.57,0.018195293
22/09/2011,55.55,-0.016780115
21/09/2011,56.49,-0.030508773
20/09/2011,58.24,0.015050885
19/09/2011,57.37,0.002093876
16/09/2011,57.25,0.029604218
15/09/2011,55.58,0.03814177
14/09/2011,53.5,0.01563562
13/09/2011,52.67,0.003423358
12/09/2011,52.49,0.013425595
09/09/2011,51.79,-0.023283495
08/09/2011,53.01,-0.001884659
07/09/2011,53.11,0.019392243
06/09/2011,52.09,-0.003449601
02/09/2011,52.27,-0.013680624
01/09/2011,52.99,-0.0302969
31/08/2011,54.62,-0.008568095
30/08/2011,55.09,-0.002356995
29/08/2011,55.22,0.010010094
26/08/2011,54.67,0.015855789
25/08/2011,53.81,-0.034161693
24/08/2011,55.68,0.009020447
23/08/2011,55.18,0.03917722
22/08/2011,53.06,0.00377644
19/08/2011,52.86,-0.000378286
18/08/2011,52.88,-0.030358976
17/08/2011,54.51,-0.00785751
16/08/2011,54.94,0.024133068
15/08/2011,53.63,-0.004836319
12/08/2011,53.89,0.015521583
11/08/2011,53.06,0.045300219
10/08/2011,50.71,-0.048499017
09/08/2011,53.23,0.047316518
08/08/2011,50.77,-0.037309827
05/08/2011,52.7,0.008384195
04/08/2011,52.26,-0.026250209
03/08/2011,53.65,0.009739729
02/08/2011,53.13,-0.029852963
01/08/2011,54.74,-0.010178205
29/07/2011,55.3,0.001628812
28/07/2011,55.21,0.00654191
27/07/2011,54.85,-0.021820359
26/07/2011,56.06,0.013107289
25/07/2011,55.33,-0.015423548
22/07/2011,56.19,-0.002488448
21/07/2011,56.33,0.007126344
20/07/2011,55.93,-0.001607861
19/07/2011,56.02,0.016922096
18/07/2011,55.08,-0.003262646
15/07/2011,55.26,0.003081108
14/07/2011,55.09,-0.003262054
13/07/2011,55.27,0.00108617
12/07/2011,55.21,-0.004157259
11/07/2011,55.44,0.005063302
08/07/2011,55.16,0.003086702
07/07/2011,54.99,0.022063774
06/07/2011,53.79,0.001116072
05/07/2011,53.73,0.010477177
01/07/2011,53.17,0.012109893
30/06/2011,52.53,0.009948427
29/06/2011,52.01,0.009077803
28/06/2011,51.54,0.02973538
27/06/2011,50.03,0.006215559
24/06/2011,49.72,-0.026985765
23/06/2011,51.08,0.001371339
22/06/2011,51.01,-0.001175549
21/06/2011,51.07,0.01360297
20/06/2011,50.38,0.006371985
17/06/2011,50.06,0.009634759
16/06/2011,49.58,0.000605266
15/06/2011,49.55,-0.00080694
14/06/2011,49.59,0.001816531
13/06/2011,49.5,0.000202041
10/06/2011,49.49,-0.018815607
09/06/2011,50.43,0.004372026
08/06/2011,50.21,-0.005957126
07/06/2011,50.51,0.003967472
06/06/2011,50.31,-0.014013848
03/06/2011,51.02,-0.006057664
02/06/2011,51.33,-0.012968342
01/06/2011,52,-0.019425482
31/05/2011,53.02,-0.00826451
27/05/2011,53.46,-0.004293054
26/05/2011,53.69,0.020130489
25/05/2011,52.62,-0.00587401
24/05/2011,52.93,0.003027438
23/05/2011,52.77,0.002846572
20/05/2011,52.62,0.008972094
19/05/2011,52.15,-0.009731973
18/05/2011,52.66,0.011459255
17/05/2011,52.06,-0.042311472
16/05/2011,54.31,-0.004775909
13/05/2011,54.57,-0.002013731
12/05/2011,54.68,0.023312804
11/05/2011,53.42,-0.002057037
10/05/2011,53.53,0.006936011
09/05/2011,53.16,0.008311344
06/05/2011,52.72,-0.0122539
05/05/2011,53.37,0.00206321
04/05/2011,53.26,0.001127184
03/05/2011,53.2,-0.002065534
02/05/2011,53.31,-0.005798202
29/04/2011,53.62,-0.001863239
28/04/2011,53.72,0.008036675
27/04/2011,53.29,0.002254369
26/04/2011,53.17,0.010208028
25/04/2011,52.63,0.001521202
21/04/2011,52.55,0.00457754
20/04/2011,52.31,0.010183583
19/04/2011,51.78,0.00115942
18/04/2011,51.72,0.005817352
15/04/2011,51.42,0.005655793
14/04/2011,51.13,-0.002539312
13/04/2011,51.26,0.003909309
12/04/2011,51.06,-0.000587372
11/04/2011,51.09,0.007662873
08/04/2011,50.7,-0.008249899
07/04/2011,51.12,-0.0083764
06/04/2011,51.55,0.011314986
05/04/2011,50.97,0.027246391
04/04/2011,49.6,0.002018164
01/04/2011,49.5,-0.004635703
31/03/2011,49.73,-0.007213015
30/03/2011,50.09,0.01225284
29/03/2011,49.48,0.005471693
28/03/2011,49.21,-0.01892166
25/03/2011,50.15,-0.003384098
24/03/2011,50.32,0.015622188
23/03/2011,49.54,0.013821358
22/03/2011,48.86,-0.008356311
21/03/2011,49.27,0.012458039
18/03/2011,48.66,-0.000205486
17/03/2011,48.67,0.001645075
16/03/2011,48.59,-0.010033871
15/03/2011,49.08,-0.006093864
14/03/2011,49.38,-0.007866909
11/03/2011,49.77,0.006045968
10/03/2011,49.47,-0.002422775
09/03/2011,49.59,0.001614531
08/03/2011,49.51,0.003844991
07/03/2011,49.32,-0.025226563
04/03/2011,50.58,-0.007092228
03/03/2011,50.94,0.009269369
02/03/2011,50.47,0.016985122
01/03/2011,49.62,-0.005025641
28/02/2011,49.87,-0.009181701
25/02/2011,50.33,0.001789799
24/02/2011,50.24,0.028876312
23/02/2011,48.81,-0.018472057
22/02/2011,49.72,-0.00721446
18/02/2011,50.08,0.017728103
17/02/2011,49.2,-0.004461577
16/02/2011,49.42,0.00243112
15/02/2011,49.3,-0.004856343
14/02/2011,49.54,-0.025115931
11/02/2011,50.8,0.016273429
10/02/2011,49.98,0.012279973
