Date,Close,CF
12/01/2011,141.81,0.048694971
11/01/2011,135.07,-0.003104674
10/01/2011,135.49,-0.014507875
07/01/2011,137.47,-0.003992891
06/01/2011,138.02,0.007417676
05/01/2011,137,0.014854307
04/01/2011,134.98,-0.009218014
03/01/2011,136.23,0.007959361
31/12/2010,135.15,-0.011183988
30/12/2010,136.67,0.013406211
29/12/2010,134.85,0.021436887
28/12/2010,131.99,-0.016828584
27/12/2010,134.23,-0.005645955
23/12/2010,134.99,0.046706996
22/12/2010,128.83,-0.002713075
21/12/2010,129.18,0.020253263
20/12/2010,126.59,0.012799793
17/12/2010,124.98,0.025855474
16/12/2010,121.79,0.017560296
15/12/2010,119.67,0.018640104
14/12/2010,117.46,-0.021393893
13/12/2010,120,-0.02477391
10/12/2010,123.01,0.010624487
09/12/2010,121.71,0.00312706
08/12/2010,121.33,-0.010576036
07/12/2010,122.62,-0.021221598
06/12/2010,125.25,-0.012535867
03/12/2010,126.83,0.024584206
02/12/2010,123.75,-0.002340693
01/12/2010,124.04,0.026716184
30/11/2010,120.77,-0.010624817
29/11/2010,122.06,-0.006125719
26/11/2010,122.81,-0.014550414
24/11/2010,124.61,0.025521541
23/11/2010,121.47,0.028982694
22/11/2010,118,0.002460652
19/11/2010,117.71,-0.021348937
18/11/2010,120.25,0.030309188
17/11/2010,116.66,0.018514241
16/11/2010,114.52,-0.022961734
15/11/2010,117.18,-0.0208596
12/11/2010,119.65,-0.065504415
11/11/2010,127.75,0.02930991
10/11/2010,124.06,-0.008987382
09/11/2010,125.18,0.003280659
08/11/2010,124.77,0.01860594
05/11/2010,122.47,0.01050654
04/11/2010,121.19,0.009367944
03/11/2010,120.06,-0.018076511
02/11/2010,122.25,0.007059625
01/11/2010,121.39,-0.009347395
29/10/2010,122.53,0.028056626
28/10/2010,119.14,-0.018132411
27/10/2010,121.32,-0.001811744
26/10/2010,121.54,0.028288423
25/10/2010,118.15,0.004240888
22/10/2010,117.65,-0.005847722
21/10/2010,118.34,-0.002953215
20/10/2010,118.69,0.03393351
19/10/2010,114.73,-0.035280652
18/10/2010,118.85,-0.008462201
15/10/2010,119.86,0.025775712
14/10/2010,116.81,-0.013435576
13/10/2010,118.39,0.017209489
12/10/2010,116.37,0.025412559
11/10/2010,113.45,0.03179135
08/10/2010,109.9,0.108094003
07/10/2010,98.64,-0.002834584
06/10/2010,98.92,0.009037888
05/10/2010,98.03,0.040809243
04/10/2010,94.11,-0.005721567
01/10/2010,94.65,-0.00894037
30/09/2010,95.5,-0.039522722
29/09/2010,99.35,-0.020325498
28/09/2010,101.39,-0.002954503
27/09/2010,101.69,0.013165248
24/09/2010,100.36,0.01688143
23/09/2010,98.68,-0.027486614
22/09/2010,101.43,0.029109332
21/09/2010,98.52,-0.025751636
20/09/2010,101.09,0.012242004
17/09/2010,99.86,0.001202405
16/09/2010,99.74,0.024767811
15/09/2010,97.3,-0.010835228
14/09/2010,98.36,0.002850745
13/09/2010,98.08,0.028753662
10/09/2010,95.3,0.013096934
09/09/2010,94.06,-0.022600426
08/09/2010,96.21,0.011288925
07/09/2010,95.13,0.00189394
03/09/2010,94.95,0.018602716
02/09/2010,93.2,0.00527138
01/09/2010,92.71,0.002267697
31/08/2010,92.5,0.012838823
30/08/2010,91.32,-0.019948623
27/08/2010,93.16,0.045682075
26/08/2010,89,0.025721231
25/08/2010,86.74,-0.003912098
24/08/2010,87.08,-0.020009763
23/08/2010,88.84,-0.013083776
20/08/2010,90.01,0.012971221
19/08/2010,88.85,-0.010746773
18/08/2010,89.81,0.01435485
17/08/2010,88.53,0.045525421
16/08/2010,84.59,-0.000709052
13/08/2010,84.65,0.003076197
12/08/2010,84.39,0.029583687
11/08/2010,81.93,0.007719208
10/08/2010,81.3,-0.027299238
09/08/2010,83.55,-0.009055227
06/08/2010,84.31,-0.017518525
05/08/2010,85.8,0.034504579
04/08/2010,82.89,0.022078106
03/08/2010,81.08,-0.017119518
02/08/2010,82.48,0.015763753
30/07/2010,81.19,0.002342932
29/07/2010,81,0.041722606
28/07/2010,77.69,0.01635126
27/07/2010,76.43,-0.019050664
26/07/2010,77.9,-0.028224363
23/07/2010,80.13,0.015342353
22/07/2010,78.91,0.028536641
21/07/2010,76.69,-0.022180148
20/07/2010,78.41,0.041135567
19/07/2010,75.25,-0.022469903
16/07/2010,76.96,-0.012910068
15/07/2010,77.96,0.034582947
14/07/2010,75.31,-0.005825516
13/07/2010,75.75,0.030833542
12/07/2010,73.45,-0.010698186
09/07/2010,74.24,0.00974561
