Date,Close,CME
28/04/2010,330.31,-0.008891359
27/04/2010,333.26,-0.025156509
26/04/2010,341.75,0.020366942
23/04/2010,334.86,-0.0092446
22/04/2010,337.97,0.046853998
21/04/2010,322.5,0.006657773
20/04/2010,320.36,-0.002213804
19/04/2010,321.07,0.028047191
16/04/2010,312.19,-0.028202908
15/04/2010,321.12,0.005151512
14/04/2010,319.47,0.029446122
13/04/2010,310.2,-0.000934444
12/04/2010,310.49,-0.005171955
09/04/2010,312.1,0.001057913
08/04/2010,311.77,-0.008114024
07/04/2010,314.31,-0.008206507
06/04/2010,316.9,-0.000693984
05/04/2010,317.12,-0.008134084
01/04/2010,319.71,0.011324081
31/03/2010,316.11,-0.00012653
30/03/2010,316.15,0.001614461
29/03/2010,315.64,-0.000190072
26/03/2010,315.7,-0.01305974
25/03/2010,319.85,0.002974562
24/03/2010,318.9,0.02640386
23/03/2010,310.59,-0.003278691
22/03/2010,311.61,-9.62696E-05
19/03/2010,311.64,0.002409524
18/03/2010,310.89,-0.016303062
17/03/2010,316,0.005298824
16/03/2010,314.33,0.000572811
15/03/2010,314.15,-0.000859093
12/03/2010,314.42,0.003632312
11/03/2010,313.28,0.017322304
10/03/2010,307.9,-0.00077917
09/03/2010,308.14,-0.016064215
08/03/2010,313.13,0.009626875
05/03/2010,310.13,0.008451439
04/03/2010,307.52,0.005412645
03/03/2010,305.86,-0.011701362
02/03/2010,309.46,0.027618916
01/03/2010,301.03,-0.002190073
26/02/2010,301.69,0.02093423
25/02/2010,295.44,0.016621259
24/02/2010,290.57,0.049380558
23/02/2010,276.57,-0.037157625
22/02/2010,287.04,-0.016447057
19/02/2010,291.8,0.000377042
18/02/2010,291.69,-0.004754015
17/02/2010,293.08,-0.013791453
