Date,Close,VNO
29/12/2009,71.4,-0.015288693
28/12/2009,72.5,0.006365042
24/12/2009,72.04,0.015105182
23/12/2009,70.96,0.006503628
22/12/2009,70.5,0.002129926
21/12/2009,70.35,0.011436865
18/12/2009,69.55,-0.001293197
17/12/2009,69.64,-0.005156127
16/12/2009,70,0.002002003
15/12/2009,69.86,-0.014777194
14/12/2009,70.9,0.017644169
11/12/2009,69.66,0.01271326
10/12/2009,68.78,-0.004641726
09/12/2009,69.1,0.002463234
08/12/2009,68.93,-0.001159925
07/12/2009,69.01,-0.016954429
04/12/2009,70.19,0.027296084
03/12/2009,68.3,-0.005257021
02/12/2009,68.66,0.027164351
01/12/2009,66.82,0.020563168
30/11/2009,65.46,0.053498757
27/11/2009,62.05,-0.034996842
25/11/2009,64.26,0.007027436
24/11/2009,63.81,-0.025682105
23/11/2009,65.47,0.017410501
20/11/2009,64.34,-0.014197769
19/11/2009,65.26,-0.036706889
18/11/2009,67.7,0.023766159
17/11/2009,66.11,-0.010682416
16/11/2009,66.82,0.022857273
13/11/2009,65.31,0.01932502
12/11/2009,64.06,-0.017792687
11/11/2009,65.21,0.021859641
10/11/2009,63.8,-0.006094245
09/11/2009,64.19,0.051301494
06/11/2009,60.98,-0.022538449
05/11/2009,62.37,0.033918138
04/11/2009,60.29,-0.024089653
03/11/2009,61.76,0.024919322
02/11/2009,60.24,0.011352376
30/10/2009,59.56,-0.01466693
29/10/2009,60.44,0.063524255
28/10/2009,56.72,-0.045830587
27/10/2009,59.38,-0.018685896
26/10/2009,60.5,-0.004288313
23/10/2009,60.76,-0.015838359
22/10/2009,61.73,0.018475143
21/10/2009,60.6,-0.022678189
20/10/2009,61.99,-0.019172979
19/10/2009,63.19,0.030692535
16/10/2009,61.28,-0.030850776
15/10/2009,63.2,-0.023302329
14/10/2009,64.69,0.040216726
13/10/2009,62.14,-0.017230803
12/10/2009,63.22,-0.005520954
09/10/2009,63.57,0.012983083
08/10/2009,62.75,0.016712586
07/10/2009,61.71,-0.005655667
06/10/2009,62.06,0.001935484
05/10/2009,61.94,0.023688112
02/10/2009,60.49,-0.0108518
01/10/2009,61.15,-0.051939038
30/09/2009,64.41,-0.005573633
29/09/2009,64.77,-0.038317703
