Date,Close,CI
09/05/2011,47.17,0.006166952
06/05/2011,46.88,-0.006378929
05/05/2011,47.18,0.027069322
04/05/2011,45.92,-0.012551561
03/05/2011,46.5,0.002152853
02/05/2011,46.4,-0.009224564
29/04/2011,46.83,-0.002985077
28/04/2011,46.97,0.022608348
27/04/2011,45.92,0.009188426
26/04/2011,45.5,0.004405293
25/04/2011,45.3,0.000220775
21/04/2011,45.29,0.031627622
20/04/2011,43.88,0.012151932
19/04/2011,43.35,0.004856062
18/04/2011,43.14,-0.030589009
15/04/2011,44.48,0.003378001
14/04/2011,44.33,0.001806277
13/04/2011,44.25,-0.008998936
12/04/2011,44.65,0.015119322
11/04/2011,43.98,0.019516174
08/04/2011,43.13,-0.005087893
07/04/2011,43.35,-0.011239939
06/04/2011,43.84,0.001826485
05/04/2011,43.76,-0.015419807
04/04/2011,44.44,-0.002696631
01/04/2011,44.56,0.006303488
31/03/2011,44.28,0.017312505
30/03/2011,43.52,0.017617516
29/03/2011,42.76,0.004453306
28/03/2011,42.57,-0.000704473
25/03/2011,42.6,0.003998594
24/03/2011,42.43,0.023609061
23/03/2011,41.44,-0.010800537
22/03/2011,41.89,-0.001669649
21/03/2011,41.96,0.008376261
18/03/2011,41.61,-0.002640107
17/03/2011,41.72,0.007458233
16/03/2011,41.41,-0.023625965
15/03/2011,42.4,-0.013121088
14/03/2011,42.96,-0.01409939
11/03/2011,43.57,0.014565048
10/03/2011,42.94,-0.027109402
09/03/2011,44.12,0.014842149
08/03/2011,43.47,0.010870929
07/03/2011,43,-0.018890218
04/03/2011,43.82,0
03/03/2011,43.82,0.032234675
02/03/2011,42.43,0.013763862
01/03/2011,41.85,-0.005243101
28/02/2011,42.07,0.001903403
25/02/2011,41.99,0.011015437
24/02/2011,41.53,-0.008631077
23/02/2011,41.89,-0.007373086
22/02/2011,42.2,-0.02179859
18/02/2011,43.13,-0.009001792
17/02/2011,43.52,0.011787956
16/02/2011,43.01,0.01239927
15/02/2011,42.48,-0.011468821
14/02/2011,42.97,0.00116428
11/02/2011,42.92,-0.001862198
10/02/2011,43,0.004428396
09/02/2011,42.81,0.003510007
08/02/2011,42.66,0.008238248
07/02/2011,42.31,-0.012215327
04/02/2011,42.83,0.006323947
03/02/2011,42.56,0.007073833
02/02/2011,42.26,-0.015263887
01/02/2011,42.91,0.020959204
31/01/2011,42.02,0.018252188
28/01/2011,41.26,-0.030786347
27/01/2011,42.55,0.011582685
26/01/2011,42.06,0.010516349
25/01/2011,41.62,0.027031964
24/01/2011,40.51,-0.011291234
21/01/2011,40.97,0.00293327
20/01/2011,40.85,0.010829542
19/01/2011,40.41,-0.017903605
18/01/2011,41.14,0.027351711
14/01/2011,40.03,0.012569296
13/01/2011,39.53,0.005326582
12/01/2011,39.32,-0.004567377
11/01/2011,39.5,0.005585188
10/01/2011,39.28,-0.003304108
07/01/2011,39.41,0.010201568
06/01/2011,39.01,0.036813973
05/01/2011,37.6,0.003196593
04/01/2011,37.48,-0.009030606
03/01/2011,37.82,0.031151821
31/12/2010,36.66,0.011246861
30/12/2010,36.25,-0.00796817
29/12/2010,36.54,-0.001640689
28/12/2010,36.6,0.001367054
27/12/2010,36.55,-0.002186391
23/12/2010,36.63,-0.000545852
22/12/2010,36.65,-0.009504484
21/12/2010,37,0.006507615
20/12/2010,36.76,0.001633542
17/12/2010,36.7,0.009857692
16/12/2010,36.34,-0.013393667
15/12/2010,36.83,-0.008651041
14/12/2010,37.15,-0.009377162
13/12/2010,37.5,-0.003992021
10/12/2010,37.65,0.00079713
09/12/2010,37.62,0.018511595
08/12/2010,36.93,-0.002704166
07/12/2010,37.03,-0.014211259
06/12/2010,37.56,-0.011120051
03/12/2010,37.98,-0.007345259
02/12/2010,38.26,0.006818804
01/12/2010,38,0.031816612
30/11/2010,36.81,-0.002983862
29/11/2010,36.92,0.019418086
26/11/2010,36.21,-0.013168915
24/11/2010,36.69,0.009034969
23/11/2010,36.36,-0.031138295
22/11/2010,37.51,0.001600854
19/11/2010,37.45,0.025694449
18/11/2010,36.5,0.007148779
17/11/2010,36.24,0.011936297
16/11/2010,35.81,-0.017988585
15/11/2010,36.46,-0.024384844
12/11/2010,37.36,0.009682701
11/11/2010,37,0.009504484
10/11/2010,36.65,0.002458682
09/11/2010,36.56,-0.007357984
08/11/2010,36.83,-0.014287883
05/11/2010,37.36,-0.00026763
04/11/2010,37.37,0.014827068
03/11/2010,36.82,-0.000814443
02/11/2010,36.85,0.04070893
01/11/2010,35.38,0.006237616
29/10/2010,35.16,-0.01412054
28/10/2010,35.66,-0.005034976
27/10/2010,35.84,-0.008058957
26/10/2010,36.13,-0.006895628
25/10/2010,36.38,0.005789127
22/10/2010,36.17,0.014200434
21/10/2010,35.66,0.009863402
20/10/2010,35.31,0.01973466
19/10/2010,34.62,-0.030999212
18/10/2010,35.71,-0.00447053
15/10/2010,35.87,-0.002227793
14/10/2010,35.95,-0.006653753
13/10/2010,36.19,0.001659292
12/10/2010,36.13,0.002216681
11/10/2010,36.05,0.017630231
