Date,Close,EXPE
13/10/2010,28.29,0.013523338
12/10/2010,27.91,-0.02091904
11/10/2010,28.5,0.007395702
08/10/2010,28.29,0.001061008
07/10/2010,28.26,0.020014964
06/10/2010,27.7,-0.021429391
05/10/2010,28.3,0.040748381
04/10/2010,27.17,-0.019679935
01/10/2010,27.71,-0.018591883
30/09/2010,28.23,-0.006355954
29/09/2010,28.41,-0.020899402
28/09/2010,29.01,-0.009605563
27/09/2010,29.29,-0.01187864
24/09/2010,29.64,0.045909701
23/09/2010,28.31,-0.003174046
22/09/2010,28.4,-0.008764298
21/09/2010,28.65,-0.00695655
20/09/2010,28.85,0.00312446
17/09/2010,28.76,0.037914196
16/09/2010,27.69,0.037907022
15/09/2010,26.66,-0.006728997
14/09/2010,26.84,0.012748579
13/09/2010,26.5,0.02444736
10/09/2010,25.86,0.012451523
09/09/2010,25.54,0.01379876
08/09/2010,25.19,0.022075952
07/09/2010,24.64,-0.030771659
03/09/2010,25.41,0.001181335
02/09/2010,25.38,0.035696591
01/09/2010,24.49,0.068876213
31/08/2010,22.86,0.00526317
30/08/2010,22.74,-0.029037793
27/08/2010,23.41,0.014630209
26/08/2010,23.07,0.002169669
25/08/2010,23.02,0.017971117
24/08/2010,22.61,-0.040308816
23/08/2010,23.54,-0.004239091
20/08/2010,23.64,0.005939771
19/08/2010,23.5,-0.010160968
18/08/2010,23.74,-0.024137668
17/08/2010,24.32,0.020773493
16/08/2010,23.82,0.005894754
13/08/2010,23.68,-0.003793471
12/08/2010,23.77,0.008449564
11/08/2010,23.57,-0.046018482
10/08/2010,24.68,0.006096341
09/08/2010,24.53,-0.003256006
06/08/2010,24.61,0.013911845
05/08/2010,24.27,-0.002058037
04/08/2010,24.32,0.061910399
03/08/2010,22.86,0.003944778
02/08/2010,22.77,0.003960401
30/07/2010,22.68,0.073633251
29/07/2010,21.07,-0.010856845
28/07/2010,21.3,-0.014449098
27/07/2010,21.61,0.000462856
26/07/2010,21.6,-0.016529302
