Date,Close,NEE
11/06/2010,50,-0.005982072
10/06/2010,50.3,0.038505263
09/06/2010,48.4,-0.010890892
08/06/2010,48.93,-0.00204165
07/06/2010,49.03,0.008191731
04/06/2010,48.63,-0.031575179
03/06/2010,50.19,0.010616024
02/06/2010,49.66,0.014604722
01/06/2010,48.94,-0.020026966
28/05/2010,49.93,0.003008728
27/05/2010,49.78,0.027080959
26/05/2010,48.45,-0.022046208
25/05/2010,49.53,-0.015426531
24/05/2010,50.3,-0.005748851
21/05/2010,50.59,0.008735414
20/05/2010,50.15,-0.036609746
19/05/2010,52.02,-0.00594156
18/05/2010,52.33,-0.005526455
17/05/2010,52.62,-0.001708915
14/05/2010,52.71,-0.002652521
13/05/2010,52.85,-0.000378358
12/05/2010,52.87,0.003979916
11/05/2010,52.66,0.000759878
10/05/2010,52.62,0.026966195
07/05/2010,51.22,0.00293284
06/05/2010,51.07,0.002548771
05/05/2010,50.94,-0.009961993
04/05/2010,51.45,-0.023245692
03/05/2010,52.66,0.011651359
30/04/2010,52.05,0.026476143
29/04/2010,50.69,-0.001182965
28/04/2010,50.75,0.014488692
27/04/2010,50.02,-0.020578486
26/04/2010,51.06,-0.00468934
23/04/2010,51.3,0.007827829
22/04/2010,50.9,0.010467164
21/04/2010,50.37,0.006373254
20/04/2010,50.05,0.033316102
19/04/2010,48.41,-0.000413052
16/04/2010,48.43,-0.008225422
15/04/2010,48.83,0.004721347
14/04/2010,48.6,-0.018147098
13/04/2010,49.49,-0.005038809
12/04/2010,49.74,0.000603318
09/04/2010,49.71,0.013569828
08/04/2010,49.04,-0.001222743
07/04/2010,49.1,-0.001831316
06/04/2010,49.19,0.004482485
05/04/2010,48.97,0.002658216
01/04/2010,48.84,0.010497163
31/03/2010,48.33,0.013960014
30/03/2010,47.66,-0.019119452
29/03/2010,48.58,0.015977101
26/03/2010,47.81,0.007558298
25/03/2010,47.45,0.00380068
24/03/2010,47.27,-0.011568117
23/03/2010,47.82,-0.000418148
22/03/2010,47.84,-0.006666691
19/03/2010,48.16,0.003952985
18/03/2010,47.97,-0.001041775
17/03/2010,48.02,0.003546473
16/03/2010,47.85,0.011349428
15/03/2010,47.31,0.005085834
12/03/2010,47.07,-0.006353262
11/03/2010,47.37,0.008480017
10/03/2010,46.97,-0.001063943
09/03/2010,47.02,-0.015406024
08/03/2010,47.75,0.002096437
05/03/2010,47.65,0.008429976
04/03/2010,47.25,0.006795524
03/03/2010,46.93,-0.005524876
02/03/2010,47.19,-0.004018193
01/03/2010,47.38,0.0215475
26/02/2010,46.37,-0.010938447
25/02/2010,46.88,-0.003832238
24/02/2010,47.06,0.00554018
23/02/2010,46.8,-0.000427259
22/02/2010,46.82,-0.001280683
19/02/2010,46.88,0.024617957
18/02/2010,45.74,-0.000655666
17/02/2010,45.77,-0.013239477
16/02/2010,46.38,0.017618727
12/02/2010,45.57,-0.008521848
11/02/2010,45.96,0.000870701
10/02/2010,45.92,-0.011690975
09/02/2010,46.46,-0.009212706
08/02/2010,46.89,-0.010817796
05/02/2010,47.4,-0.012995362
04/02/2010,48.02,-0.028332833
03/02/2010,49.4,-0.003637102
02/02/2010,49.58,0.007084333
01/02/2010,49.23,0.009592889
29/01/2010,48.76,-0.005114054
28/01/2010,49.01,-0.01518709
27/01/2010,49.76,0.010911403
26/01/2010,49.22,0.030320978
25/01/2010,47.75,-0.008134365
22/01/2010,48.14,-0.018318923
21/01/2010,49.03,-0.01919057
20/01/2010,49.98,-0.018043515
19/01/2010,50.89,0.006703495
15/01/2010,50.55,0.01073996
14/01/2010,50.01,-0.029358822
13/01/2010,51.5,0.003501268
12/01/2010,51.32,-0.02463558
11/01/2010,52.6,-0.000760167
08/01/2010,52.64,-0.008700641
07/01/2010,53.1,-0.002820876
06/01/2010,53.25,0.009813251
05/01/2010,52.73,-0.009813251
04/01/2010,53.25,0.008107898
31/12/2009,52.82,-0.016523095
30/12/2009,53.7,0.005789539
29/12/2009,53.39,-0.000561745
28/12/2009,53.42,0.009592851
24/12/2009,52.91,-0.000755715
23/12/2009,52.95,-0.016297073
22/12/2009,53.82,-0.012555556
21/12/2009,54.5,-0.002199414
18/12/2009,54.62,0.006612809
17/12/2009,54.26,-0.010997178
16/12/2009,54.86,-0.009795108
15/12/2009,55.4,-0.006656497
14/12/2009,55.77,-0.008569951
11/12/2009,56.25,0.02192755
10/12/2009,55.03,0.024651727
09/12/2009,53.69,0.007478068
08/12/2009,53.29,0.006211785
07/12/2009,52.96,0.003973139
04/12/2009,52.75,-0.004728141
03/12/2009,53,-0.006019582
02/12/2009,53.32,0.00809721
01/12/2009,52.89,0.017547656
30/11/2009,51.97,0.007532629
27/11/2009,51.58,-0.017298144
25/11/2009,52.48,0.007267196
24/11/2009,52.1,0.001728941
23/11/2009,52.01,0.017455835
20/11/2009,51.11,0.004903413
19/11/2009,50.86,-0.01405724
18/11/2009,51.58,0.000775795
17/11/2009,51.54,-0.008693187
16/11/2009,51.99,0.016484423
13/11/2009,51.14,0.006867485
12/11/2009,50.79,-0.009406301
11/11/2009,51.27,0.012956601
10/11/2009,50.61,-0.004534261
09/11/2009,50.84,0.021471998
06/11/2009,49.76,-0.009401009
05/11/2009,50.23,0.007192838
04/11/2009,49.87,0.013322765
03/11/2009,49.21,0.003460563
02/11/2009,49.04,-0.001222743
30/10/2009,49.1,-0.019962353
29/10/2009,50.09,-0.000598743
28/10/2009,50.12,-0.013673056
27/10/2009,50.81,-0.025647413
26/10/2009,52.13,-0.009545701
23/10/2009,52.63,-0.017516221
22/10/2009,53.56,-0.006327957
21/10/2009,53.9,0.007822726
20/10/2009,53.48,-0.022555957
19/10/2009,54.7,0.022182056
16/10/2009,53.5,-0.004662013
15/10/2009,53.75,0.014240451
14/10/2009,52.99,-0.000377358
13/10/2009,53.01,-0.005455756
12/10/2009,53.3,0.003759403
09/10/2009,53.1,0.001885015
08/10/2009,53,0.002077628
07/10/2009,52.89,-0.018730647
06/10/2009,53.89,0.008198294
05/10/2009,53.45,0.00412449
02/10/2009,53.23,-0.00972152
01/10/2009,53.75,-0.027162617
30/09/2009,55.23,0.001630878
29/09/2009,55.14,0.003269758
28/09/2009,54.96,0.010425334
25/09/2009,54.39,0.008307996
24/09/2009,53.94,0.001298581
23/09/2009,53.87,-0.00795049
22/09/2009,54.3,-0.012263355
21/09/2009,54.97,-0.001090909
18/09/2009,55.03,0.00145481
17/09/2009,54.95,-0.003633065
