Date,Close,R
06/01/2012,54.65,-0.004928366
05/01/2012,54.92,0.010432967
04/01/2012,54.35,-0.000551826
03/01/2012,54.38,0.023066499
30/12/2011,53.14,-0.006190809
29/12/2011,53.47,0.014505293
28/12/2011,52.7,-0.022886011
27/12/2011,53.92,0.004274702
23/12/2011,53.69,0.00522877
22/12/2011,53.41,0.011676216
21/12/2011,52.79,0.016040061
20/12/2011,51.95,0.043874451
19/12/2011,49.72,-0.020701376
16/12/2011,50.76,0.009302393
15/12/2011,50.29,0.004583964
14/12/2011,50.06,-0.028941876
13/12/2011,51.53,-0.020551957
12/12/2011,52.6,-0.007953081
09/12/2011,53.02,0.02385837
08/12/2011,51.77,-0.024424034
07/12/2011,53.05,0.001697953
06/12/2011,52.96,-0.012385221
05/12/2011,53.62,0.01446442
02/12/2011,52.85,0.015252917
01/12/2011,52.05,-0.004409094
30/11/2011,52.28,0.066223183
29/11/2011,48.93,0.015239175
28/11/2011,48.19,0.030551202
25/11/2011,46.74,-0.016550346
23/11/2011,47.52,-0.033726172
22/11/2011,49.15,-0.019343742
21/11/2011,50.11,-0.020346381
18/11/2011,51.14,0.00039116
17/11/2011,51.12,-0.025112388
16/11/2011,52.42,-0.02114084
15/11/2011,53.54,0.010325822
14/11/2011,52.99,-0.002262018
11/11/2011,53.11,0.056947996
10/11/2011,50.17,0.010821749
09/11/2011,49.63,-0.04047537
08/11/2011,51.68,0.012069448
07/11/2011,51.06,-0.00896867
04/11/2011,51.52,0.000194118
03/11/2011,51.51,0.027954576
02/11/2011,50.09,0.019351541
01/11/2011,49.13,-0.036178623
31/10/2011,50.94,-0.01674168
28/10/2011,51.8,0.00930961
27/10/2011,51.32,0.048303143
26/10/2011,48.9,0.042826388
25/10/2011,46.85,-0.028408012
24/10/2011,48.2,0.023298357
21/10/2011,47.09,0.021247714
20/10/2011,46.1,0.017505918
19/10/2011,45.3,-0.004844757
18/10/2011,45.52,0.053701149
17/10/2011,43.14,-0.04154496
14/10/2011,44.97,0.032545245
13/10/2011,43.53,0.005990801
12/10/2011,43.27,0.045387133
11/10/2011,41.35,0.009476441
10/10/2011,40.96,0.049547287
07/10/2011,38.98,-0.015275246
06/10/2011,39.58,0.02636784
05/10/2011,38.55,0.028415487
04/10/2011,37.47,0.05541736
03/10/2011,35.45,-0.056484311
30/09/2011,37.51,-0.050426483
29/09/2011,39.45,0.01764526
